unit,group,subgroup,doubtful
AI and Ideas Adoption,Professional Services,IT and Digital,
ALC Administration,Humanities,School of Arts Languages and Cultures,
Accounting and Finance Division,Professional Services,Finance,
Alliance MBS Administration,Humanities,Alliance Manchester Business School,
Architecture,Humanities,School of Arts Languages and Cultures,
Art History and Cultural Practices,Humanities,School of Arts Languages and Cultures,
Assoc Heads of University Administration,Professional Services,Governance and Executive,
Assoc of Higher Education Professionals,Professional Services,Governance and Executive,
BP International Centre for Adv Mats,FSE,Cross-faculty Research Institutes,
Board Secretariat,Professional Services,Governance and Executive,
Buildings and Operations,Professional Services,Estates,
Business Engagement & Knowledge Exchange,Professional Services,Research and Business Engagement,
Campus Life,Professional Services,Student and Campus Services,
Campus Support and Security,Professional Services,Estates,
Campus Technology Services,Professional Services,IT and Digital,
Cancer Research UK Manchester Institute,FBMH,Cross-faculty Research Institutes,
Car Park Services,Professional Services,Estates,
Cathie Marsh Institute,Humanities,School of Social Sciences,
"Classics, Anc Hist, Archaeol & Egyptol",Humanities,School of Arts Languages and Cultures,
Collection Strategies,Professional Services,Library and Cultural Institutions,
Collections,Professional Services,Library and Cultural Institutions,
Collections Care and Access,Professional Services,Library and Cultural Institutions,
Commercial,Professional Services,Estates,
Comms and Marketing - General Office,Professional Services,Communications and Marketing,
Communications,Professional Services,Communications and Marketing,
Compliance and Risk Office,Professional Services,Governance and Executive,
Conferences and Venues,Professional Services,Estates,
Confucius Institute,Humanities,Cross-faculty Research Institutes,
Creative Manchester,Professional Services,Communications and Marketing,
Criminology,Humanities,School of Social Sciences,
Dalton Nuclear Institute,FSE,Cross-faculty Research Institutes,
Department of Chemical Engineering,FSE,School of Engineering,
Department of Chemistry,FSE,School of Natural Sciences,
Department of Computer Science,FSE,School of Engineering,
Department of Earth & Environmental Sci,FSE,School of Natural Sciences,
Department of Electrical & Electron Eng,FSE,School of Engineering,
Department of Materials,FSE,School of Natural Sciences,
Department of Mathematics,FSE,School of Natural Sciences,
Department of Physics and Astronomy,FSE,School of Natural Sciences,
Dept of Civil Eng & Management,FSE,School of Engineering,
Dept of Mech & Aero Eng,FSE,School of Engineering,
Development and Alumni,Professional Services,Communications and Marketing,
Digital,Professional Services,IT and Digital,
Directorate Office,Professional Services,Governance and Executive,
Directorate Services,Professional Services,Governance and Executive,
Directorate of Estates,Professional Services,Estates,
Division of Cancer Sciences,FBMH,School of Medical Sciences,
Division of Cardiovascular Sciences,FBMH,School of Medical Sciences,
Division of Cell Matrix Biol & Regen Med,FBMH,School of Biological Sciences,
Division of Dentistry,FBMH,School of Medical Sciences,
Division of Developmental Biology & Med,FBMH,School of Medical Sciences,
"Division of Diabetes, Endocrinol & Gastr",FBMH,School of Medical Sciences,
"Division of Evolut, Infection & Genomics",FBMH,School of Biological Sciences,
"Division of Informatics, Imag & Data Sci",FBMH,School of Health Sciences,
Division of Medical Education,FBMH,School of Medical Sciences,
Division of Molecular and Cellular Funct,FBMH,School of Biological Sciences,
Division of Musculoskel & Dermatol Sci,FBMH,School of Biological Sciences,
Division of Neuroscience,FBMH,School of Biological Sciences,
"Division of Nursing, Midwif & Soc. Work",FBMH,School of Health Sciences,
Division of Pharmacy and Optometry,FBMH,School of Health Sciences,
"Division of Pop Health, Health Serv Res",FBMH,School of Health Sciences,
Division of Psychology and Mental Health,FBMH,School of Health Sciences,
Drama and Film,Humanities,School of Arts Languages and Cultures,
Economics,Humanities,Alliance Manchester Business School,
Education,Humanities,School of Environment Education and Development,
"Education, Experience & Strat Insights",Professional Services,Student and Campus Services,
Employee Relations and Policy,Professional Services,People and OD,
"Eng, American Studies & Creative Writing",Humanities,School of Arts Languages and Cultures,
Enterprise and Business Architecture,Professional Services,IT and Digital,
Environmental Services,Professional Services,Estates,
"Equality, Diversity and Inclusion",Professional Services,People and OD,
Estates Support,Professional Services,Estates,
Estates Surveying,Professional Services,Estates,
Estates Sustainability,Professional Services,Estates,
Executive Director`s Office,Professional Services,Governance and Executive,
Executive Education Centre,Humanities,Alliance Manchester Business School,
