category,n_comments,theme
Work satisfaction,3376,Engagement
People and teamwork,2798,
Values and culture,2509,Engagement
Systems and processes,1861,Enablement
Flexible and hybrid working,1580,Autonomy
Staffing and workload,1449,Autonomy
Vision and purpose,1359,Purpose
Wellbeing and balance,1322,Autonomy
Leadership,1150,Leadership
Pay and benefits,1132,Reward
Learning and development,1019,Enablement
Equality diversity and inclusion EDI,1018,EDI
Job security,930,Reward
Agility and innovation,918,
Career progression,720,Reward
Autonomy and empowerment,703,Autonomy
Line manager effectiveness,460,Leadership
Cross function communication,450,Enablement
Employee voice,438,Leadership
Change management,435,Leadership
Physical environment,407,
General communication,393,Leadership
Students and young people,356,
Recognition and praise,234,Reward
Customer service and quality,158,
Health and safety,153,
Performance management,141,Leadership
Environmental social and governance ESG,140,
Recruitment,126,
Tools and equipment,112,Enablement
New joiners onboarding and induction,68,
Don't know or unsure,41,
Meetings,27,
No comment,14,
Nothing,2,
